date_int,food_id,food_name,meal,serving_description,number_of_units
20185,96063233,,Breakfast,,0.500
20185,39640492,,Lunch,,1.000
20185,75412280,,Dinner,,2.000
20185,23219587,,Dinner,,1.850
20186,75412280,,Breakfast,,1.410
20186,50856971,,Breakfast,,1.120
20186,36376,,Lunch,,139.000
20186,36085771,,Lunch,,1.800
20186,97910273,,Dinner,,0.500
20186,23219587,,Dinner,,2.020
20186,90233866,,Other,,3.300
20186,351094,,Other,,2.000
20186,29275384,,Other,,0.600
20187,98339517,,Breakfast,,1.000
20187,97862374,,Breakfast,,0.410
20187,98365827,,Lunch,,2.200
20187,85419397,,Dinner,,1.000
20187,57785723,,Other,,2.500
20187,82306252,,Other,,1.500
20188,80825685,,Breakfast,,0.500
20188,27836828,,Lunch,,0.702
20188,32339758,,Lunch,,0.400
20188,29133735,,Lunch,,0.410
20188,32436803,,Lunch,,0.540
20188,72529217,,Lunch,,0.920
20188,67136917,,Lunch,,0.230
20188,16220524,,Other,,3.300
20188,23219587,,Other,,1.730
20188,21238844,,Other,,1.000
20188,26276997,,Other,,1.360
20188,23219587,,Other,,1.780
20189,15066364,,Breakfast,,0.700
20189,80825685,,Breakfast,,0.500
20189,29133735,,Lunch,,1.000
20189,72529217,,Lunch,,1.000
20189,36333,,Lunch,,82.000
20189,27836828,,Lunch,,0.800
20189,32339758,,Lunch,,2.160
20189,28972757,,Lunch,,1.220
20189,88651062,,Dinner,,0.600
20189,50856971,,Other,,1.250
20189,90233866,,Other,,3.300
20189,26276997,,Other,,1.150
20189,23219587,,Other,,1.900
20190,19294665,,Breakfast,,1.800
20190,39640492,,Lunch,,1.000
20190,19294665,,Dinner,,1.700
20190,15066364,,Other,,0.700
20190,20092948,,Other,,1.160
20191,79176134,,Breakfast,,0.610
20191,39640492,,Lunch,,1.000
20191,84434751,,Lunch,,1.000
20191,39390087,,Dinner,,1.250
20191,84588176,,Other,,2.500
20191,57915565,,Other,,0.440
20191,564224,,Other,,162.000
20192,79176134,,Breakfast,,0.550
20192,19294665,,Lunch,,1.650
20192,91504788,,Dinner,,1.800
20192,57915565,,Other,,0.600
20192,43141041,,Other,,1.790
20192,13496744,,Other,,0.300
20192,89054255,,Other,,0.740
20192,32962599,,Other,,0.300
20193,68855567,,Breakfast,,2.000
20193,98803137,,Lunch,,0.550
20193,98339517,,Dinner,,1.000
20193,98803137,,Other,,0.890
20193,24964821,,Other,,0.200
20193,66418895,,Other,,2.500
20194,30149975,,Breakfast,,0.700
20194,95073607,,Breakfast,,0.500
20194,76967290,,Breakfast,,2.000
20194,29133735,,Lunch,,0.300
20194,27836828,,Lunch,,0.700
20194,26015848,,Lunch,,0.650
20194,35042685,,Lunch,,0.800
20194,28972757,,Lunch,,1.160
20194,23219587,,Dinner,,3.000
20194,19294665,,Other,,1.700
20195,79176134,,Breakfast,,0.630
20195,39390087,,Breakfast,,0.530
20195,30149975,,Lunch,,0.600
20195,95073607,,Lunch,,0.400
20195,28972757,,Lunch,,0.860
20195,95073607,,Dinner,,0.380
20195,42264653,,Dinner,,5.500
20195,82306252,,Other,,1.000
20195,95073607,,Other,,0.220
20196,39390087,,Breakfast,,0.710
20196,75412280,,Breakfast,,1.800
20196,39640492,,Dinner,,1.000
20196,42868284,,Other,,4.400
20196,20410907,,Other,,1.000
20196,92342031,,Other,,0.500
20196,60675742,,Other,,1.000
20197,35149798,,Breakfast,,0.310
20197,30149975,,Breakfast,,0.470
20197,75412280,,Breakfast,,1.770
20197,75660279,,Lunch,,2.000
20197,39390087,,Lunch,,0.740
20197,36085771,,Dinner,,1.300
20197,54711625,,Other,,4.670
20197,36085771,,Other,,0.500
20197,35149798,,Other,,0.280
20197,20410907,,Other,,0.830
20198,83663641,,Breakfast,,0.400
20198,97910273,,Lunch,,0.500
20198,36085771,,Lunch,,1.680
20198,45252508,,Dinner,,2.100
20198,54711625,,Other,,4.840
20199,93093528,,Breakfast,,1.000
20199,83663641,,Breakfast,,0.400
20199,75660279,,Lunch,,2.000
20199,20410907,,Lunch,,0.770
20199,36085771,,Dinner,,1.200
20199,81118060,,Dinner,,2.000
20199,54100035,,Other,,0.320
20199,88651062,,Other,,0.600
20200,92342031,,Breakfast,,0.500
20200,83663641,,Breakfast,,0.400
20200,21373411,,Lunch,,0.700
20200,54100035,,Lunch,,0.210
20200,29133735,,Lunch,,0.500
20200,35042685,,Lunch,,1.000
20200,27836828,,Lunch,,2.480
20200,28972757,,Lunch,,2.660
20200,69622203,,Dinner,,2.000
20200,20410907,,Other,,1.000
20200,26983401,,Other,,5.000
20201,82306252,,Breakfast,,1.000
20201,92342031,,Breakfast,,0.500
20201,44268123,,Lunch,,1.000
20201,29371292,,Dinner,,1.600
20201,97910273,,Other,,0.500
20201,7516,,Other,,330.000
20202,54100035,,Breakfast,,0.320
20202,83663641,,Breakfast,,0.400
20202,21373411,,Breakfast,,1.400
20202,79112519,,Lunch,,0.600
20202,98578990,,Dinner,,0.800
20202,36085771,,Other,,1.790
20202,28690603,,Other,,0.600
20202,20092948,,Other,,1.760
20203,83663641,,Breakfast,,0.400
20203,75179607,,Lunch,,0.300
20203,28972757,,Lunch,,1.500
20203,27836828,,Lunch,,1.400
20203,30149975,,Lunch,,0.610
20203,28690603,,Lunch,,0.350
20203,98339517,,Dinner,,1.400
20203,92342031,,Other,,0.500
20204,83533089,,Breakfast,,0.970
20204,30149975,,Lunch,,0.530
